Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2516","Avoine","2011","2011","Milliers de tonnes","3997","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2516","Avoine","2011","2011","Milliers de tonnes","27","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2516","Avoine","2011","2011","Milliers de tonnes","3831","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2516","Avoine","2011","2011","Milliers de tonnes","22560","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2516","Avoine","2011","2011","Milliers de tonnes","15358","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2516","Avoine","2011","2011","Milliers de tonnes","2533","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2516","Avoine","2011","2011","Milliers de tonnes","530","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2516","Avoine","2011","2011","Milliers de tonnes","0","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2516","Avoine","2011","2011","Milliers de tonnes","72","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2516","Avoine","2011","2011","Milliers de tonnes","4071","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
